brand,attribute,quadrant,sentiment,mentions,example_source
Acuvue,comfortable for eyes,Key Drivers,neutral,2,[xhs_post](https://www.xiaohongshu.com/discovery/item/66361ebd000000001e0324b5?xsec_token=YBBYRAsyGUIqiQ1DRgCoUkVvsPZopaiU6fCWPmqg_hDDw%3D&xsec_source=app_share)
Acuvue,trustworthy brand,Key Drivers,neutral,1,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Acuvue-Moist-1Day-Contact-Lens-P-100-Parallel-Import/p/H5711001_S_MoistPI_reg_1day-85-100S?scrollTo=reviewTab)
Acuvue,can wear 12+ hours,Key Drivers,negative,1,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Acuvue-Moist-1Day-Contact-Lens-P-100-Parallel-Import/p/H5711001_S_MoistPI_reg_1day-85-100S?scrollTo=reviewTab)
Acuvue,trendy,Low Importance,positive,32,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OASYS-1DAY-with-HydraLuxe-Contact-Lenses/p/H7249002_S_JJACOD30-85M0100?scrollTo=reviewTab)
Acuvue,premium feel,Low Importance,positive,27,[review](https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab)
Acuvue,easy to repurchase,Potential Differentiators,positive,159,[review](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048002_S_733905577123?scrollTo=reviewTab)
Acuvue,suitable for me,Potential Differentiators,positive,13,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Define-in-Radiant-Chic-RH-1Day-Contact-Lens-BC85-P000-Random-Pick-for-OldNew-Packaging/p/H5711001_S_Define_RH_1day-85-0?scrollTo=reviewTab)
Acuvue,available in multiple places,Potential Differentiators,positive,10,[review](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048002_S_733905577123?scrollTo=reviewTab)
Acuvue,friend/family recommended,Potential Differentiators,positive,2,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Bi-weekly-Disposable/BC-88-Acuvue-Oasys-Hydraclear-Plus-Contact-Lenses/p/H7249002_S_JJACOD06-88M1200?scrollTo=reviewTab)
Acuvue,doctor/expert recommended,Potential Differentiators,positive,2,[xhs_post](https://www.xiaohongshu.com/discovery/item/687e204d000000001d00ca5c?xsec_token=YBAhheJnNf4PqgMGlDN6cl4sx6UbIE7vORI97lE12y7qM%3D&xsec_source=app_share)
Acuvue,suitable for me,Potential Differentiators,negative,1,[reputation.csv](https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=23714756)
Alcon,high quality,Basic Requirements,positive,86,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-EX-Aqua-Night-Day-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_ALAOND03-84M0100?scrollTo=reviewTab)
Alcon,safe and reliable,Basic Requirements,positive,6,[review](https://www.hktvmall.com/hktv/en/main/POKECON/s/H8617001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/DAILIES-AquaComfort-Plus-MultiFocal-Daily-Disposal-Contact-Lenses/p/H8617001_S_DACPMF-100_LOW?scrollTo=reviewTab)
Alcon,high quality,Basic Requirements,negative,2,[review](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/PRECISION-1-1Day-Contact-Lens-Parallel-Import/p/H9723001_S_F113002_p-100?scrollTo=reviewTab)
Alcon,safe and reliable,Basic Requirements,negative,1,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-BC-85-P-100/p/H5711001_S_Total1_reg_1day-85-100S?scrollTo=reviewTab)
Alcon,eye health commitment,Basic Requirements,positive,1,[xhs_post](https://www.xiaohongshu.com/discovery/item/69193ce80000000004000224?xsec_token=YBDF3ci8LOcGeNmRec9555TWOtofiw16ywjJ3fhDK8Gx4%3D&xsec_source=app_share)
Alcon,comfortable for eyes,Key Drivers,positive,85,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-EX-Aqua-Night-Day-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_ALAOND03-84M0100?scrollTo=reviewTab)
Alcon,trustworthy brand,Key Drivers,positive,27,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Dailies-Total-1-90-Pack-Contact-Lenses/p/H7249002_S_ALDLTT90-85M0050?scrollTo=reviewTab)
Alcon,can wear 12+ hours,Key Drivers,positive,24,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/PRECISION1-1Day-Contact-Lens-BC-83-P-100-/p/H5711001_S_Precision1_reg_1day-83-100S?scrollTo=reviewTab)
Alcon,comfortable for eyes,Key Drivers,negative,14,[review](https://www.hktvmall.com/hktv/en/main/Vintage-Eyewear-4-You/s/S1115001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/DAILIES-AquaComfort-Plus-MULTIFOCAL-30pcsboxDealer-Products-PWR-1000-LO/p/S1115001_S_DAILIESAquaComfortMULTIFOCAL_L_1000?scrollTo=reviewTab)
Alcon,clear/crisp vision,Key Drivers,positive,9,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/PRECISION1-1Day-Contact-Lens-BC-83-P-100-/p/H5711001_S_Precision1_reg_1day-83-100S?scrollTo=reviewTab)
Alcon,can wear 12+ hours,Key Drivers,neutral,4,[xhs_post](https://www.xiaohongshu.com/discovery/item/68b58368000000001d0229b9?xsec_token=YBT5MrhYNFDjd4pRUfI3ib-BIOy9VYMQy4r1qM1ixgApA%3D&xsec_source=app_share)
Alcon,comfortable for eyes,Key Drivers,neutral,2,[review](https://www.hktvmall.com/hktv/en/main/UNICON/s/B1099001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/DAILIES-AquaComfort-Plus-MultiFocal-Daily-Disposal-Contact-Lenses-Parallel-imported-products/p/B1099001_S_DACPMF-Pi-100_LOW?scrollTo=reviewTab)
Alcon,clear/crisp vision,Key Drivers,negative,2,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-BC-85-P-100/p/H5711001_S_Total1_reg_1day-85-100S?scrollTo=reviewTab)
Alcon,can wear 12+ hours,Key Drivers,negative,1,[xhs_post](https://www.xiaohongshu.com/discovery/item/6623b8dc000000020100e127?xsec_token=YBRY5i4FXw_Tb_JZy3o-wI_hkeoyi8Auhs6X403h9ySGc%3D&xsec_source=app_share)
Alcon,premium feel,Low Importance,positive,4,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-HydraGlyde-Contact-Lenses/p/H7249002_S_ALAOHG06-86M0100?scrollTo=reviewTab)
Alcon,trendy,Low Importance,positive,1,[xhs_post](https://www.xiaohongshu.com/discovery/item/689daa87000000001c0113b0?xsec_token=YBWrUgdTEZtgn0chuLdqk3e5gwa5tBsiVGKQ1xS5CjGOc%3D&xsec_source=app_share)
Alcon,easy to repurchase,Potential Differentiators,positive,60,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-EX-Aqua-Night-Day-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_ALAOND03-84M0100?scrollTo=reviewTab)
Alcon,available in multiple places,Potential Differentiators,positive,6,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-HydraGlyde-Contact-Lenses/p/H7249002_S_ALAOHG06-86M0100?scrollTo=reviewTab)
Alcon,doctor/expert recommended,Potential Differentiators,positive,6,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/PRECISION1-1Day-Contact-Lens-BC-83-P-100-/p/H5711001_S_Precision1_reg_1day-83-100S?scrollTo=reviewTab)
Alcon,suitable for me,Potential Differentiators,positive,5,[review](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/LOW-DAILIES-AquaComfort-Plus-MultiFocal-Daily-Disposal-Contact-Lenses-Parallel-import/p/H9835001_S_DACPMF-100_LOW?scrollTo=reviewTab)
Alcon,friend/family recommended,Potential Differentiators,positive,4,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-EX-Aqua-Night-Day-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_ALAOND03-84M0100?scrollTo=reviewTab)
Alcon,suitable for me,Potential Differentiators,negative,1,[xhs_post](https://www.xiaohongshu.com/discovery/item/68b5a22c000000021c01a556?xsec_token=YBBMShGD78xyFhGv7mQtBtVD-EOpnf-X34Ua-pGzQ4Oos%3D&xsec_source=app_share)
Alcon,easy to repurchase,Potential Differentiators,neutral,1,[xhs_post](https://www.xiaohongshu.com/discovery/item/6a2a9bde000000002101966f?xsec_token=YBQ3SghhF3FBdE-2v258xI1PEVqOtvVHmEzSetz1kJtec%3D&xsec_source=app_share)
Alcon,easy to repurchase,Potential Differentiators,negative,1,[reputation.csv](https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=22135281)
Bausch & Lomb,high quality,Basic Requirements,positive,143,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Daily-Disposable/SofLens-Daily-Disposable-for-Astigmatism-Contact-Lenses/p/H7249002_S_BLSLST30-86M0100-125160?scrollTo=reviewTab)
Bausch & Lomb,safe and reliable,Basic Requirements,positive,6,[review](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab)
Bausch & Lomb,high quality,Basic Requirements,negative,3,[review](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab)
Bausch & Lomb,high quality,Basic Requirements,neutral,2,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/SofLens-Daily-Disposable-1Day-Contact-Lens-BC-86-P-100/p/H5711001_S_SDD_reg_1day-86-100S?scrollTo=reviewTab)
Bausch & Lomb,safe and reliable,Basic Requirements,negative,1,[review](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab)
Bausch & Lomb,comfortable for eyes,Key Drivers,positive,82,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biotrue-ONEday-90-Pack-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_BLBTBD90-86M0900?scrollTo=reviewTab)
Bausch & Lomb,comfortable for eyes,Key Drivers,negative,27,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biotrue-ONEday-90-Pack-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_BLBTBD90-86M0900?scrollTo=reviewTab)
Bausch & Lomb,trustworthy brand,Key Drivers,positive,21,[review](https://www.hktvmall.com/hktv/en/main/Eyesmart/s/H9835002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Shimming-Black-Lacelle-1-day-Dazzle-Ring-Daily-Disposal-Colour-Contact-Lenses/p/H9835002_S_Lacelle_Dazzle-EBK_050?scrollTo=reviewTab)
Bausch & Lomb,can wear 12+ hours,Key Drivers,positive,11,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Biotrue-ONEday-90-Pack-Contact-Lenses-Packaging-may-vary-new-or-old/p/H7249002_S_BLBTBD90-86M0900?scrollTo=reviewTab)
Bausch & Lomb,clear/crisp vision,Key Drivers,positive,10,[review](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Daily-Disposable/Biotrue-1-Day-for-Astigmatism-Daily-Disposal-Toric-Contact-Lenses-Authorized-products/p/H9835001_S_Biotrue-1DT-100_075_180?scrollTo=reviewTab)
Bausch & Lomb,comfortable for eyes,Key Drivers,neutral,3,[review](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Daily-Disposable/Biotrue-1-Day-for-Astigmatism-Daily-Disposal-Toric-Contact-Lenses-Authorized-products/p/H9835001_S_Biotrue-1DT-100_075_180?scrollTo=reviewTab)
Bausch & Lomb,clear/crisp vision,Key Drivers,negative,1,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/Biotrue-ONEday-for-Presbyopia-Contact-Lenses/p/H7249002_S_BLBTBF30-86M0900-LO?scrollTo=reviewTab)
Bausch & Lomb,clear/crisp vision,Key Drivers,neutral,1,[reputation.csv](https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=11878730)
Bausch & Lomb,trendy,Low Importance,positive,19,[review](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Glittering-Brown-Lacelle-1-day-Dazzle-Ring-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_Dazzle-EBN_900?scrollTo=reviewTab)
Bausch & Lomb,premium feel,Low Importance,positive,13,[review](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab)
Bausch & Lomb,premium feel,Low Importance,neutral,1,[review](https://www.hktvmall.com/hktv/en/main/LENSee/s/B0217001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/SofLens-Daily-Disposable-Contact-Lenses-P-100-Parallel-Import/p/B0217001_S_SDDPI30-0100?scrollTo=reviewTab)
Bausch & Lomb,trendy,Low Importance,neutral,1,[xhs_post](https://www.xiaohongshu.com/discovery/item/69cdc5ce000000001a0252dd?xsec_token=YBsZ9qdGgXFsYVVj_kpiClZakrqgLJUXqFRbo92bZbg4Y%3D&xsec_source=app_share)
Bausch & Lomb,easy to repurchase,Potential Differentiators,positive,133,[review](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Lacelle-Grace-1DAY-Glittering-Gray-Color-Contact-Lens-ParallelExp-date-202706-202912/p/H9835001_S_Lacelle-Grace-SGray_PL?scrollTo=reviewTab)
Bausch & Lomb,suitable for me,Potential Differentiators,positive,9,[review](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Glittering-Brown-Lacelle-1-day-Dazzle-Ring-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_Dazzle-EBN_900?scrollTo=reviewTab)
Bausch & Lomb,friend/family recommended,Potential Differentiators,positive,4,[review](https://www.hktvmall.com/hktv/en/main/Eyesmart/s/H9835002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Shimming-Black-Lacelle-1-day-Dazzle-Ring-Daily-Disposal-Colour-Contact-Lenses/p/H9835002_S_Lacelle_Dazzle-EBK_050?scrollTo=reviewTab)
Bausch & Lomb,available in multiple places,Potential Differentiators,positive,3,[review](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab)
Bausch & Lomb,suitable for me,Potential Differentiators,neutral,2,[review](https://www.hktvmall.com/hktv/en/main/My-Optical-Contact-lens/s/H1053001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-86-Soflens-1Day-Contact-Lens-P100-Parallel-Import/p/H1053001_S_Soflens-100?scrollTo=reviewTab)
Bausch & Lomb,doctor/expert recommended,Potential Differentiators,positive,1,[review](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Sparking-Gold-Lacelle-1-day-Colors-Daily-Disposal-Colour-Contact-Lenses/p/H9835001_S_Lacelle_Colors-CBN_900?scrollTo=reviewTab)
